brand,model,weight_g
Acer,Iconia Talk S,260
Acer,Liquid Z6 Plus,169
Acer,Liquid Z6,
Acer,Iconia Tab 10 A3-A40,
Acer,Liquid X2,166
Acer,Liquid Jade 2,
Acer,Liquid Zest Plus,
Acer,Liquid Zest,125
Acer,Predator 8,353.8
Acer,Liquid Jade Primo,150
Acer,Liquid Z330,142
Acer,Liquid Z320,142
Acer,Liquid Z630S,165
Acer,Liquid Z630,165
Acer,Liquid Z530S,145
Acer,Liquid Z530,145
Acer,Liquid M330,142
Acer,Liquid M320,142
Acer,Iconia Tab 10 A3-A30,540
Acer,Iconia One 8 B1-820,355
Acer,Iconia Tab A3-A20,508
Acer,Iconia Tab A3-A20FHD,508
Acer,Liquid Jade Z,110
Acer,Liquid Z520,118
Acer,Liquid Z220,120
Acer,Liquid M220,119
Acer,Liquid Z410,145
Acer,Liquid Jade S,116
Acer,Liquid Z500,150
Acer,Liquid X1,164
Acer,Liquid Jade,110
Acer,Liquid E700,155
Acer,Liquid E600,155
Acer,Liquid Z200,130
Acer,Iconia Tab 8 A1-840FHD,360
Acer,Iconia Tab 7 A1-713,298
Acer,Iconia Tab 7 A1-713HD,298
Acer,Iconia One 7 B1-730,
Acer,Liquid E3 Duo Plus,
Acer,Liquid E3,134
Acer,Liquid Z4,122
Acer,Iconia B1-721,323
Acer,Iconia B1-720,315
Acer,Iconia A1-830,380
Acer,Liquid Z5,150
Acer,Liquid S2,229
Acer,Liquid Z3,120
Acer,Liquid S1,195
Acer,Iconia Tab A3,560
Acer,Iconia Tab A1-811,430
Acer,Iconia Tab A1-810,410
Acer,Liquid E2,140
Acer,Liquid Z2,110
Acer,Liquid C1,140
Acer,Liquid E1,130
Acer,Iconia Tab B1-710,339.9
Acer,Iconia Tab B1-A71,320
Acer,Iconia Tab A110,390
Acer,Liquid Z110,100
Acer,Liquid Gallant E350,145
Acer,Liquid Gallant Duo,145
Acer,Liquid Glow E330,125
Acer,CloudMobile S500,
Acer,Iconia Tab A210,685
Acer,Iconia Tab A200,700
Acer,Iconia Tab A701,667
Acer,Iconia Tab A700,665
Acer,Iconia Tab A511,777
Acer,Iconia Tab A510,680
Acer,Allegro,126
Acer,Liquid Express E320,138
Acer,Iconia Tab A501,777
Acer,Iconia Smart,185
Acer,Iconia Tab A500,730
Acer,Iconia Tab A101,470
Acer,Iconia Tab A100,450
Acer,Liquid mini E310,108
Acer,beTouch E210,109
Acer,beTouch E140,95
Acer,beTouch T500,130
Acer,Liquid mt,135
Acer,beTouch E130,109
Acer,beTouch E120,105
Acer,Stream,140
Acer,Liquid E,135
Acer,neoTouch P400,125
Acer,beTouch E400,125
Acer,neoTouch P300,130.6
Acer,beTouch E110,105
Acer,Liquid,135
Acer,neoTouch,130
Acer,beTouch E200,146
Acer,beTouch E100,118
Acer,beTouch E101,118
Acer,DX650,133
Acer,M900,188
Acer,F900,150
Acer,X960,131.5
Acer,DX900,147
alcatel,Flash (2017),155
alcatel,U5,
alcatel,A5 LED,
alcatel,A3,
alcatel,A3 XL,
alcatel,Shine Lite,156
alcatel,Pixi 4 Plus Power,202
alcatel,Fierce 4,163.9
alcatel,X1,140
alcatel,Pixi 4 (5),148
alcatel,Flash Plus 2,157
alcatel,POP 7 LTE,295.1
alcatel,Pop 4S,
alcatel,Pop 4+,
alcatel,Pop 4,
alcatel,Idol 4s Windows,152
alcatel,Idol 4s,149
alcatel,Idol 4,135
alcatel,Fierce XL (Windows),174
alcatel,CareTime,
alcatel,Pixi 4 (7),
alcatel,Pixi 4 (6) 3G,179
alcatel,Pixi 4 (6),
alcatel,Pixi 4 (4),
alcatel,Pixi 4 (3.5),
alcatel,Pixi 3 (8) LTE,
alcatel,Pop 3 (5.5),174
alcatel,Pop 3 (5),167
alcatel,Fierce XL,173
alcatel,Watch,
alcatel,GO Watch,
alcatel,Flash 2,140
alcatel,10.16G,63
alcatel,2007,72
alcatel,Idol 3C,
alcatel,Pixi 3 (10),
alcatel,Pixi First,
alcatel,Pop Up,
alcatel,Pop Star LTE,
alcatel,Pop Star,
alcatel,Go Play,
alcatel,Flash Plus,147
alcatel,Pop Astro,144.9
alcatel,Flash,
alcatel,Idol 3 (5.5),141
alcatel,Idol 3 (4.7),110
alcatel,Orange Klif,
alcatel,Pixi 3 (5.5) LTE,
alcatel,Pixi 3 (5.5),
alcatel,Pixi 3 (8) 3G,335
alcatel,Pixi 3 (7) LTE,260
alcatel,Pixi 3 (7) 3G,260
alcatel,Pixi 3 (7),260
alcatel,POP 10,380
alcatel,Pixi 3 (5),
alcatel,Pixi 3 (4.5),125
alcatel,Pixi 3 (4),110
alcatel,Pixi 3 (3.5) Firefox,98
alcatel,Pixi 3 (3.5),100
alcatel,Pop D3,114
alcatel,Pop D1,101
alcatel,Pop Icon,149
alcatel,Fire C 2G,93
alcatel,Pop 2 (5) Premium,151
alcatel,Pop 2 (5),170
alcatel,Pop 2 (4),125
alcatel,Pop 2 (4.5) Dual SIM,147
alcatel,Pop 2 (4.5),147
alcatel,Fierce 2,149.1
alcatel,Evolve 2,121.1
alcatel,POP 8S,327
alcatel,Hero 8,310
alcatel,Hero 2,175
alcatel,Pixi 2,100
alcatel,Pop D5,150
alcatel,Pop C2,116
alcatel,Pixi 8,325
alcatel,2012,98
alcatel,2010,95
alcatel,2052,74
alcatel,2040,77.9
alcatel,2005,85
alcatel,POP 7S,279
alcatel,Pixi 7,285
alcatel,Pop S9,182
alcatel,Pop S7,162
alcatel,Pop S3,130
alcatel,Fire 7,285
alcatel,Fire S,126
alcatel,Fire E,103
alcatel,Fire C,100
alcatel,Idol 2 S,126
alcatel,Idol 2,128
alcatel,Idol 2 Mini S,116
alcatel,Idol 2 Mini,110
alcatel,Pop Fit,78
alcatel,2001,89
alcatel,2000,89
alcatel,Idol X+,125
alcatel,Pop C9,189
alcatel,POP 8,325
alcatel,POP 7,285
alcatel,Fierce,130
alcatel,Evolve,136.5
alcatel,Pop C7,162
alcatel,Pop C5,157
alcatel,Pop C3,110
alcatel,Pop C1,100
alcatel,Idol Alpha,117.4
alcatel,One Touch Evo 8HD,415
alcatel,Hero,177.6
alcatel,Idol S,110
alcatel,Idol Mini,96
alcatel,One Touch T10,340
alcatel,One Touch Snap LTE,
alcatel,One Touch Pixi,118
alcatel,One Touch Snap,
alcatel,Idol X,130
alcatel,One Touch Fire,108
alcatel,One Touch Star,
alcatel,One Touch Scribe Easy,163
alcatel,One Touch Evo 7,390
alcatel,One Touch Evo 7 HD,350
alcatel,One Touch Tab 8 HD,400
alcatel,One Touch Tab 7,350
alcatel,One Touch Tab 7 HD,350
alcatel,One Touch Idol Ultra,115
alcatel,One Touch Idol,109
alcatel,One Touch T'Pop,118
alcatel,One Touch S'Pop,122
alcatel,One Touch M'Pop,136.5
alcatel,One Touch X'Pop,139
alcatel,One Touch Scribe HD-LTE,135
alcatel,One Touch Scribe X,
alcatel,One Touch Scribe HD,135
alcatel,View,
alcatel,OT-983,136
alcatel,OT-997D,143
alcatel,OT-997,143
alcatel,OT-992D,
alcatel,OT-978,144.5
alcatel,OT-988 Shockwave,155
alcatel,OT-993,150
alcatel,OT-903,114
alcatel,OT-838,101
alcatel,OT-668,76
alcatel,OT-605,
alcatel,OT-986,
alcatel,OT-991,131.3
alcatel,OT-916,126
alcatel,OT-720,93
alcatel,OT-902,103.2
alcatel,OT-819 Soul,103
alcatel,OT-870,126.8
alcatel,OT-595,101
alcatel,OT-358,76
alcatel,OT-310,76
alcatel,OT-318D,71
alcatel,OT-317D,71
alcatel,OT-308,69
alcatel,OT-282,88
alcatel,OT-292,67
alcatel,OT-228,63
alcatel,OT-915,123.4
alcatel,OT-985,136
alcatel,OT-810D,93.8
alcatel,OT-810,93.8
alcatel,OT-906,103
alcatel,OT-995,124
alcatel,OT-990,144
alcatel,OT-910,
alcatel,OT-908F,120
alcatel,OT-908,120
alcatel,OT-905,96.4
alcatel,OT-900,
alcatel,OT-891 Soul,100
alcatel,OT-918,123
alcatel,OT-918D,123
alcatel,OT-890D,100.7
alcatel,OT-890,100.7
alcatel,OT-888,146
alcatel,OT-818,100.5
alcatel,OT-813F,102.5
alcatel,OT-813D,101
alcatel,OT-807,105
alcatel,OT-803,102.5
alcatel,OT-799 Play,100.6
alcatel,OT-690,
alcatel,OT-665,77
alcatel,OT-602,
alcatel,OT-585,87
alcatel,OT-506,80
alcatel,OT-385,85
alcatel,OT-361,74
alcatel,OT-355,80
alcatel,OT-330,
alcatel,OT-306,80
alcatel,OT-223,70
alcatel,OT-217,62
alcatel,OT-213,66
alcatel,OT-209,68
alcatel,OT-117,61
alcatel,OT-113,67
alcatel,OT-112,67
alcatel,OT-109,65
alcatel,OT-105,65
alcatel,OT-706,80
alcatel,Net,102
alcatel,OT-808,113
alcatel,OT-606 One Touch CHAT,109.2
alcatel,OT-255,76
alcatel,OT-252,
alcatel,OT-710,85
alcatel,OT-108,65
alcatel,OT-216,60
alcatel,OT-206,60
alcatel,OT-909 One Touch MAX,105
alcatel,Miss Sixty,120
alcatel,OT-880 One Touch XTRA,118
alcatel,OT-208,65
alcatel,OT-301,69
alcatel,OT-300,66
alcatel,OT-980,152
alcatel,OT-806,105
alcatel,OT-802 Wave,103
alcatel,OT-305,67.4
alcatel,OT-380,90
alcatel,OT-505,69.6
alcatel,OT-508A,69.6
alcatel,OT-565,69.6
alcatel,OT-106,60
alcatel,OT-800 One Touch CHROME,102
alcatel,OT-800 One Touch Tribe,103
alcatel,OT-708 One Touch MINI,82
alcatel,OT-660,82
alcatel,OT-383,73
alcatel,OT-203,63
alcatel,OT-103,63
alcatel,OT-600,90
alcatel,Crystal,85
alcatel,Miss Sixty 2009,85
alcatel,ELLE GlamPhone,85
alcatel,OT-363,73
alcatel,Roadsign,83
alcatel,OT-303,66
alcatel,OT-222,71
alcatel,OT-280,88
alcatel,OT-202,69
alcatel,OT-S121,60
alcatel,OT-111,60
alcatel,OT-102,69
alcatel,Mandarina Duck Moon,83
alcatel,Mandarina Duck,83
alcatel,OT-I650 SPORT,75
