,brand,model,weight_g
0,Acer,Iconia Talk S,260
1,Acer,Liquid Z6 Plus,169
2,Acer,Liquid Z6,
3,Acer,Iconia Tab 10 A3-A40,
4,Acer,Liquid X2,166
5,Acer,Liquid Jade 2,
6,Acer,Liquid Zest Plus,
7,Acer,Liquid Zest,125
8,Acer,Predator 8,353.8
9,Acer,Liquid Jade Primo,150
10,Acer,Liquid Z330,142
11,Acer,Liquid Z320,142
12,Acer,Liquid Z630S,165
13,Acer,Liquid Z630,165
14,Acer,Liquid Z530S,145
15,Acer,Liquid Z530,145
16,Acer,Liquid M330,142
17,Acer,Liquid M320,142
18,Acer,Iconia Tab 10 A3-A30,540
19,Acer,Iconia One 8 B1-820,355
20,Acer,Iconia Tab A3-A20,508
21,Acer,Iconia Tab A3-A20FHD,508
22,Acer,Liquid Jade Z,110
23,Acer,Liquid Z520,118
24,Acer,Liquid Z220,120
25,Acer,Liquid M220,119
26,Acer,Liquid Z410,145
27,Acer,Liquid Jade S,116
28,Acer,Liquid Z500,150
29,Acer,Liquid X1,164
30,Acer,Liquid Jade,110
31,Acer,Liquid E700,155
32,Acer,Liquid E600,155
33,Acer,Liquid Z200,130
34,Acer,Iconia Tab 8 A1-840FHD,360
35,Acer,Iconia Tab 7 A1-713,298
36,Acer,Iconia Tab 7 A1-713HD,298
37,Acer,Iconia One 7 B1-730,
38,Acer,Liquid E3 Duo Plus,
39,Acer,Liquid E3,134
40,Acer,Liquid Z4,122
41,Acer,Iconia B1-721,323
42,Acer,Iconia B1-720,315
43,Acer,Iconia A1-830,380
44,Acer,Liquid Z5,150
45,Acer,Liquid S2,229
46,Acer,Liquid Z3,120
47,Acer,Liquid S1,195
48,Acer,Iconia Tab A3,560
49,Acer,Iconia Tab A1-811,430
50,Acer,Iconia Tab A1-810,410
51,Acer,Liquid E2,140
52,Acer,Liquid Z2,110
53,Acer,Liquid C1,140
54,Acer,Liquid E1,130
55,Acer,Iconia Tab B1-710,339.9
56,Acer,Iconia Tab B1-A71,320
57,Acer,Iconia Tab A110,390
58,Acer,Liquid Z110,100
59,Acer,Liquid Gallant E350,145
60,Acer,Liquid Gallant Duo,145
61,Acer,Liquid Glow E330,125
62,Acer,CloudMobile S500,
63,Acer,Iconia Tab A210,685
64,Acer,Iconia Tab A200,700
65,Acer,Iconia Tab A701,667
66,Acer,Iconia Tab A700,665
67,Acer,Iconia Tab A511,777
68,Acer,Iconia Tab A510,680
69,Acer,Allegro,126
70,Acer,Liquid Express E320,138
71,Acer,Iconia Tab A501,777
72,Acer,Iconia Smart,185
73,Acer,Iconia Tab A500,730
74,Acer,Iconia Tab A101,470
75,Acer,Iconia Tab A100,450
76,Acer,Liquid mini E310,108
77,Acer,beTouch E210,109
78,Acer,beTouch E140,95
79,Acer,beTouch T500,130
80,Acer,Liquid mt,135
81,Acer,beTouch E130,109
82,Acer,beTouch E120,105
83,Acer,Stream,140
84,Acer,Liquid E,135
85,Acer,neoTouch P400,125
86,Acer,beTouch E400,125
87,Acer,neoTouch P300,130.6
88,Acer,beTouch E110,105
89,Acer,Liquid,135
90,Acer,neoTouch,130
91,Acer,beTouch E200,146
92,Acer,beTouch E100,118
93,Acer,beTouch E101,118
94,Acer,DX650,133
95,Acer,M900,188
96,Acer,F900,150
97,Acer,X960,131.5
98,Acer,DX900,147
99,alcatel,Flash (2017),155
100,alcatel,U5,
101,alcatel,A5 LED,
102,alcatel,A3,
103,alcatel,A3 XL,
104,alcatel,Shine Lite,156
105,alcatel,Pixi 4 Plus Power,202
