,announced
131,2015
132,2015
176,2014
177,2014
178,2014
179,2014
180,2014
238,2012
239,2012
251,2012
264,2011
269,2011
270,2011
281,2011
286,2011
294,2011
391,2006
431,2003
436,2002
437,2002
438,2001
439,2001
440,2000
441,2000
442,2000
443,2000
444,1999
445,2000
446,2000
447,2000
448,2000
449,2000
450,1998
451,1998
452,1998
453,1998
454,1998
455,1998
456,1998
457,1998
458,1997
511,2015
539,2014
541,2014
593,2007
594,2007
595,2007
596,2007
597,2007
598,2007
600,2007
602,2007
603,2007
604,2007
605,2007
606,2007
632,2003
633,2004
634,2003
635,2003
636,2003
637,2003
638,2003
639,2003
712,2014
713,2014
714,2013
715,2013
716,2013
717,2013
718,2013
719,2013
720,2013
721,2013
834,2012
852,2007
853,2007
875,2007
877,2000
878,2000
879,2000
880,2000
881,1999
882,1999
883,1999
946,2007
947,2007
948,2007
949,2007
950,2007
951,2007
952,2007
953,2007
954,2007
955,2007
956,2007
957,2007
958,2007
959,2007
960,2007
961,2007
962,2007
963,2007
964,2007
965,2007
966,2007
967,2007
968,2007
969,2007
970,2007
1055,2012
1328,1999
1329,1999
1330,1998
1331,1999
1332,1996
1333,1996
1334,1996
1335,1999
1336,1997
1337,1997
1344,2015
1345,2015
1346,2015
1347,2015
1348,2015
1349,2015
1361,2013
1362,2013
1363,2013
1397,2014
1398,2014
1400,2014
1401,2014
1402,2014
1403,2014
1404,2014
1405,2014
1406,2014
1407,2014
1408,2014
1409,2014
1410,2014
1411,2014
1412,2014
1413,2014
1414,2014
1415,2014
1416,2014
1417,2014
1418,2014
1419,2014
1420,2014
1421,2014
1422,2014
1423,2014
1424,2014
1425,2014
1426,2014
1427,2014
1428,2014
1429,2014
1430,2014
1431,2014
1469,2013
1470,2013
1471,2013
1472,2013
1473,2013
1474,2013
1475,2013
1503,2012
1504,2012
1505,2012
1510,2012
1511,2012
1512,2012
1513,2012
1514,2012
1515,2012
1516,2012
1517,2012
1518,2012
1519,2012
1520,2012
1521,2012
1522,2012
1523,2012
1524,2012
1525,2012
1526,2012
1527,2012
1528,2012
1529,2012
1530,2012
1531,2012
1532,2012
1533,2011
1534,2012
1535,2011
1536,2011
1537,2011
1538,2011
1539,2011
1540,2011
1541,2011
1542,2011
1543,2011
1544,2011
1545,2011
1546,2011
1547,2011
1548,2011
1549,2011
1550,2011
1551,2011
1552,2011
1553,2011
1554,2011
1555,2011
1556,2011
1557,2011
1558,2011
1559,2011
1560,2011
1561,2011
1562,2011
1563,2011
1564,2011
1565,2011
1566,2011
1567,2011
1568,2011
1569,2011
1570,2011
1571,2011
1572,2011
1573,2010
1574,2011
1575,2010
1576,2010
1577,2011
1578,2011
1579,2011
1580,2010
1581,2011
1582,2011
1583,2011
1584,2011
1585,2010
1586,2010
1587,2011
1588,2010
1589,2010
1590,2010
1591,2010
1592,2010
1632,2011
1647,2014
1648,2014
1649,2012
1650,2013
1651,2013
1652,2012
1653,2012
1654,2012
1655,2011
1656,2013
1657,2011
1658,2011
1659,2010
1669,2001
1673,2001
1674,2001
1675,2000
1676,2000
1677,2000
1678,2000
1679,2000
1680,2000
1681,2000
1682,1999
1683,1999
1684,1999
1685,1999
1686,1999
1687,1999
1688,1998
1689,1998
1690,1997
1691,1997
1692,1997
1693,1997
1694,1996
1695,1996
1696,1995
1697,1995
1698,1995
1699,1995
1700,1995
1701,1995
1702,1996
1703,1995
1704,1994
1765,2011
1766,2011
1785,2005
1786,2005
1787,2005
1788,2006
1789,2005
1791,2005
1792,2005
1793,2005
1794,2005
1795,2005
1847,2013
1848,2013
1849,2013
1850,2013
1851,2014
1852,2014
1853,2014
1854,2013
1856,2013
1857,2013
1858,2013
1859,2013
1860,2013
1861,2013
1862,2013
1863,2014
1864,2013
1865,2013
1883,2006
1887,2005
1888,2005
1889,2005
1890,2005
1897,2005
1901,2004
1902,2004
1903,2004
1904,2004
1905,2004
1906,2004
1907,2004
1908,2004
1909,2004
1910,2004
1911,2004
1912,2004
1913,2004
1914,2003
1915,2004
1916,2004
1917,2004
1918,2004
1925,2014
1929,2014
2137,2011
2337,2013
2340,2013
2358,2013
2371,2012
2375,2012
2383,2012
2393,2011
2395,2011
2396,2011
2404,2011
2441,2008
2443,2008
2444,2008
2445,2008
2525,2014
2526,2014
2532,2014
2533,2014
2537,2013
2539,2013
2540,2013
2542,2013
2558,2012
2560,2012
2639,2013
2640,2013
2641,2013
2642,2013
2643,2013
2644,2013
2653,2012
2654,2012
2655,2012
2656,2012
2657,2012
2658,2012
2659,2012
2660,2012
2661,2012
2662,2012
2663,2012
2664,2012
2665,2012
2666,2012
2667,2012
2668,2012
2669,2012
2670,2012
2671,2012
2672,2012
2673,2012
2674,2012
2675,2012
2676,2012
2677,2012
2678,2012
2679,2012
2680,2012
2703,2000
2867,2015
2933,2013
2949,2013
2950,2013
2956,2012
2957,2012
2961,2012
2971,2011
3096,2014
3133,2013
3134,2013
3135,2013
3153,2012
3201,2011
3203,2011
3210,2011
3214,2011
3215,2011
3227,2011
3229,2011
3422,2007
3516,2005
3566,2002
3567,2002
3568,2002
3575,2003
3578,2004
3579,2003
3580,2003
3581,2004
3582,2003
3583,2004
3584,2004
3585,2003
3586,2004
3587,2004
3588,2004
3589,2004
3590,2003
3591,2003
3592,2003
3593,2003
3594,2000
3595,2000
3596,2000
3597,2000
3598,1999
3599,1999
3600,1999
3601,1999
3602,1999
3603,1999
3604,1999
3605,1999
3786,2014
3787,2013
3788,2013
3789,2013
3790,2014
3791,2014
3792,2014
3793,2014
3812,2013
3814,2013
3815,2013
3816,2013
3817,2013
3818,2013
3819,2013
3820,2013
3821,2013
3822,2013
3842,2012
3870,2012
3873,2011
3881,2011
3882,2011
3883,2011
3884,2011
3885,2011
3886,2011
3887,2011
3888,2011
3889,2011
3992,2003
3996,2000
3997,2000
3998,1999
3999,2000
4000,2000
4001,2000
